"Source:";"/home/andrea/Development/github/Commodore64C/250469-RevA/C64C-250469-01-A.sch"
"Date:";"Sun 10 May 2020 06:31:55 PM CEST"
"Tool:";"Eeschema 5.1.5"
"Generator:";"/home/andrea/Apps/kicad/plugins/bom_csv_sc_grouped_by_value_with_fp.py"
"Component Count:";"131"
"Ref";"Qnty";"Value";"Cmp name";"Footprint";"Description";"Vendor"
"JP3, ";"1";"Jumper";"Jumper";"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical";"Jumper, normally closed";""
"L1, ";"1";"CM4545Z131B-10";"CM4545Z131B-10";"krl_Filter:Laird_CM4545Z131B-10";"Quadruple Coupled inductor with ferrite core";""
"L2, ";"1";"2.2u";"L";"Inductor_THT:L_Axial_L9.5mm_D4.0mm_P15.24mm_Horizontal_Fastron_SMCC";"Inductor";""
"L3, L4, ";"2";"10uH";"L";"250469-01:L_Radial_L7.5mm_W3mm_P5.00mm_Kemet_SBT-02";"Inductor";""
"M1, ";"1";"RF_Modulator";"RF_Modulator";"250469-01:RF_Modulator";"C64C RF Modulator";""
"Q1, ";"1";"2SD313";"2SD313E";"Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown";"3A Ic, 60V Vce, High Voltage Power NPN Transistor, TO-220";""
"Q2, Q3, ";"2";"2SC1815";"2SC1815";"Package_TO_SOT_THT:TO-92_Inline";"0.15A Ic, 50V Vce, Low Noise Audio NPN Transistor, TO-92";""
"Q5, ";"1";"2SC1384";"2SC1384";"Package_TO_SOT_THT:TO-92_Inline";"1A Ic, 50V Vce, NPN Transistor, TO-92";""
"R1, ";"1";"470";"R";"Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal";"Resistor";""
"R3, R8, R12, ";"3";"1k";"R";"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";"Resistor";""
